Vehicle ID,Percent Mining Time,Percent Travel Time,Percent Unloading Time,Percent Idle Time,Total Mining Time (hrs),Total Unloads
0,53.12,40.28,3.36,3.24,38.25,29.00
1,70.95,25.00,2.08,1.97,51.08,18.00
2,80.67,16.67,1.39,1.27,58.08,12.00
3,79.05,18.06,1.50,1.39,56.92,13.00
4,61.23,33.33,2.78,2.66,44.08,24.00
5,67.71,27.78,2.31,2.20,48.75,20.00
6,73.96,22.45,1.85,1.74,53.25,16.00
7,70.95,25.00,2.08,1.97,51.08,18.00
8,77.43,19.44,1.62,1.50,55.75,14.00
9,74.19,22.22,1.85,1.74,53.42,16.00
10,48.26,44.44,3.70,3.59,34.75,32.00
11,73.03,23.15,1.97,1.85,52.58,17.00
12,74.19,22.22,1.85,1.74,53.42,16.00
13,80.67,16.67,1.39,1.27,58.08,12.00
14,60.88,33.33,2.78,3.01,43.83,24.00
15,82.18,15.28,1.27,1.27,59.17,11.00
16,75.12,21.41,1.74,1.74,54.08,15.00
17,80.56,16.78,1.39,1.27,58.00,12.00
18,77.43,19.44,1.62,1.50,55.75,14.00
19,77.31,19.44,1.62,1.62,55.67,14.00
